no;platform;category;provider_service_id;service_name;provider_original_name;min_quantity;max_quantity;daily_speed;days_for_1000;max_warning;refill_days;cost_usd_per_1000;cost_try_per_1000;profit_margin_percent;sale_price_try_per_1000;profit_try_per_1000
24;Instagram;Views;b0e710b7-cfce-4c8d-ab80-a9e4d5165cb7;Instagram Views [Max 2B | No Refill | Real Accounts | Fast Start | 240K/day];IGTV Views [Max: 1M] [Start Time: 0-1 Hour] [Speed: 10K/Hour] 💧 [Premium ⚡];100;2147483647;240K/day;1;Max unreachable (8,948 days);0;0.0715;3.43;320;14.40;10.97
25;Instagram;Likes;28ea7e01-3e27-4ad2-8644-7568c4fb297c;Instagram India 🇮🇳 Likes [Max 30K | 30 Days Refill | Real Accounts | Instant | 10K/day];🇮🇳 Instagram Likes [INDIA] [Refill: 30D] [Max: 30K] [Start Time: Instant] [Speed: 10K/D] [Premium ⚡];10;30000;10K/day;1;;30;0.0810;3.89;320;16.30;12.41
26;Instagram;Story Views;af678278-fbde-4f96-904a-4877a8b8e511;Instagram Arab 🇸🇦 Story Views [Max 50K | 30 Days Refill | Real Accounts | 10K/day];Instagram Story Views [ARAB] [Refill: 30D] [Max: 20K] [Start Time: 0 - 12 Hrs] [Speed: Up to 10K/D] 💧 [Premium ⚡];20;50000;10K/day;1;;30;0.0907;4.35;320;18.30;13.95
27;Instagram;Followers;d2573273-9d60-4212-859f-26b057ada416;Instagram Brazil 🇧🇷 Followers [Max 100K | 30 Days Refill | Real Accounts | 1K–2K/day];🇧🇷 Instagram Premium [Brazilian Followers] [100% Brazilian] [100K MAX] [1-2K/D] 30 Days Refill [Budget 💰];100;100000;1K–2K/day;1;Max unreachable (100 days);30;0.1170;5.62;200;16.80;11.18
28;Instagram;Likes;59db7c24-ad8a-4035-92d1-b6a935a25049;Instagram Turkey 🇹🇷 Likes [Max 300K | No Refill | Real Accounts | Fast Start | 5K/day];🇹🇷 Instagram Likes [TURKEY - 80% FEMALE] [Refill: No] [Max: 25K] [Start Time: 1 Hour] [Speed: 5K/Day] [Premium ⚡];10;300000;5K/day;1;;0;0.1350;6.48;200;19.40;12.92
29;Instagram;Comments;f6a23c15-3e2c-4b1b-8925-f591c2fda65b;Instagram Turkey 🇹🇷 Comments [Max 1K | No Refill];Instagram Bluetick Comment [ Turkey ] [1 Comment] [Budget 💰];1000;1000;;;;0;0.1464;7.03;200;21.10;14.07
30;Instagram;Followers;855fe926-da6f-4821-ba20-67a65b4ea668;Instagram Followers [Max 6K | 65 Days Refill | Real Accounts | Fast Start | 5,9K/day];🔥🔥🔥 [EXCLUSIVE] Instagram Followers [Spam On] [Refill: 65 Days] [Max: 100K/username - 5.9K/order] [Start Time: 0-1 Hours] [Speed: 5.9K/Day] ♻️🔥🔥🔥 [Premium ⚡];5900;5900;5,9K/day;1;;65;0.1584;7.60;200;22.80;15.20
31;Instagram;Likes;a3379b3d-c4bc-475b-8f42-5988d416229a;Instagram Likes [Max 10M | 30 Days Refill | Real Accounts | Fast Start | 10K/day];Instagram Real Likes [Refill: 30D] [Max: 20K] [Start Time: 0 - 1 Hour] [Speed: 10K/Day] 💧 [Premium ⚡];1;10000000;10K/day;1;Max unreachable (1,000 days);30;0.1800;8.64;200;25.90;17.26
32;Instagram;Followers;03577d73-67f4-4d74-b5b8-73e47d447521;Instagram Followers [Max 10M | 30 Days Refill | Real Accounts | Fast Start | 1M/day];Instagram Followers [Refill: 30 Days] [Max: 5M] [Start Time: 0-1 Hour] [Speed: 1M/Day] ♻️ [Premium ⚡];10;10000000;1M/day;1;;30;0.2412;11.58;200;34.70;23.12
33;Instagram;Combo Package;7402fc5f-099e-4f54-9a2c-ba9d77373263;Instagram India 🇮🇳 Combo Package [Max 10K | 365 Days Refill];Instagram 🇮🇳 1000 Followers + 1000 Likes on 10 Last Post (100 per Post) (365 Days Refill) [Budget 💰];1000;10000;;;;365;0.2652;12.73;200;38.20;25.47
34;Instagram;Followers;eb300913-40de-4063-bb5d-7fa13246959f;Instagram Followers [Max 50K | 30 Days Refill | Real Accounts | Fast Start | 5K/day];Instagram Followers [Refill: 30 Days] [Max: 50K] [Start Time: 1 Hour] [Speed: 5K/Day] ♻️ [Premium ⚡];100;50000;5K/day;1;;30;0.3432;16.47;200;49.40;32.93
35;Instagram;Combo Package;977bd13b-cc90-4cb2-9877-f78087749a63;Instagram India 🇮🇳 Combo Package [Max 10K | 365 Days Refill];Instagram 🇮🇳 2000 Followers + 2000 Likes on 20 Last Post (100 per Post) (365 Days Refill) [Budget 💰];2000;10000;;;;365;0.4680;22.46;200;67.40;44.94
36;Instagram;Followers;bb0d255f-ec43-4480-adff-2114fca4440d;Instagram Turkey 🇹🇷 Followers [Max 500K | 30 Days Refill | Real Accounts | 20K/day];Instagram Followers [🇦🇪 ARAB / 🇮🇳 INDIA / 🇹🇷 TURK MIX] [Refill: 30D] [Max: 10K] [Start Time: 0 - 1 Hr] [Speed: 20K/D] 💧⛔ [Premium ⚡];50;500000;20K/day;1;;30;0.5100;24.48;130;56.30;31.82
37;Instagram;Followers;c3ee5887-cec6-418b-9093-56157e7f4f13;Instagram India 🇮🇳 Followers [Max 1M | 365 Days Refill | Instant | 30K/day];Instagram Followers [Indian🇮🇳] [INSTANT] [LESS DROP] [30K/D] [1M MAX] [365 Days Refill] [Budget 💰];100;1000000;30K/day;1;;365;0.5220;25.06;130;57.60;32.54
38;Instagram;Likes;a1e8c6fb-9088-4a14-92f4-7f271df7da0d;Instagram India 🇮🇳 Likes [Max 3K | 30 Days Refill | Real Accounts | Instant | 10K/day];🇮🇳 Instagram Likes [INDIA WOMEN] [Refill: 30 Days] [Max: 10K] [Start Time: Instant] [Speed: 10K/Day] [Premium ⚡];10;3000;10K/day;1;;30;0.5250;25.20;130;58.00;32.80
39;Instagram;Followers;b9bee028-f355-4c65-99e4-7aae0dedaf63;Instagram Followers [Max 1M | 30 Days Refill | Real Accounts | 20K/day];Instagram Followers [SPAM ON] [Max: 1M] [Refill: 30D] [Start Time: 0 - 1 Hr] [Speed: 20K/D] ♻️💧⛔ [Premium ⚡];10;1000000;20K/day;1;;30;0.8100;38.88;130;89.40;50.52
40;Instagram;Comments;36744d2a-75cf-4ac1-87de-971791d30fcc;Instagram Comments [Max 500K | 30 Days Refill | Real Accounts | 20K/day];Instagram Comments [HQ - RANDOM] [Refill: 30 Days] [Max: 100K] [Start Time: 0 - 3 Hours] [Speed: 20K/Day] 💧 [Premium ⚡];10;500000;20K/day;1;;30;0.8784;42.16;130;97.00;54.84
41;Instagram;Comments;5e0b3ea7-fd01-4195-9060-427e9eb5f683;Instagram Turkey 🇹🇷 Comments [Max 1 | No Refill | Real Accounts | Instant];🇹🇷 Instagram Artist VERIFIED Comments [4 Comments] [Refill: No] [Start Time: 0-6 Hours] [Speed: Instant after Start Time] [Premium ⚡];1;1;;;;0;0.9000;43.20;130;99.40;56.20
42;Instagram;Followers;061a9489-9bcc-46e4-b360-fbbdb0f2a2a7;Instagram Followers [Max 30K | 7 Days Refill | Real Accounts | Fast Start | 12K/day];Instagram Followers [Refill: 7 Days] [Max: 30K] [Start Time: 1 Hour] [Speed: 500/Hour] ♻️ [Premium ⚡];10;30000;12K/day;1;;7;1.0200;48.96;130;113.00;64.04
43;Instagram;Followers;1ff48594-d53e-43b9-98de-66df50754553;Instagram Turkey 🇹🇷 Followers [Max 15K | No Refill | Real Accounts | Fast Start | 4K/day];Instagram Followers [75% Turkey] [Refill: No] [Max: 15K] [Start Time: 1 Hour] [Speed: 4K/Day] [Premium ⚡];50;15000;4K/day;1;;0;1.0500;50.40;130;116.00;65.60
44;Instagram;Comments;073e5687-2047-4a7d-b377-379323544a9b;Instagram Comments [Max 50K | 30 Days Refill | Real Accounts | 25K/day];Instagram Comments [CUSTOM] [Refill: 30 Days] [Max: 1M] [Start Time: 0 - 3 Hours] [Speed: 25K/Day] 💧 [Premium ⚡];10;50000;25K/day;1;;30;1.0500;50.40;130;116.00;65.60
45;Instagram;Followers;19d50d61-f305-4f25-b45b-21fb5873d29d;Instagram India 🇮🇳 Followers [Max 250K | 99 Days Refill | Real Accounts | Fast Start | 15K/day];🇮🇳 Instagram Followers [Refill: 99 Days] [Max: 300K] [Start Time: 0 - 1 Hours] [Speed: 15K/Day] [Premium ⚡];10;250000;15K/day;1;;99;1.1100;53.28;130;123.00;69.72
46;Instagram;Followers;e76c79a3-d716-4a35-9bc0-10b3b208f9a2;Instagram Turkey 🇹🇷 Followers [Max 10K | No Refill];Instagram Turkey Followers | Max: 10K [Budget 💰];50;10000;;;;0;1.2000;57.60;130;132.00;74.40
47;Instagram;Reactions;aca3e248-bd88-4959-a3b2-62537b57d2ff;Instagram Reactions [Max 200K | 30 Days Refill | Real Accounts | Fast Start | 2K/day];🇷🇺Instagram Likes + Impressions [RUSSIAN] [NON-DROP] [Max: 150K] [Refill: 30 Days] [Start Time: 1 Hour] [Speed: 2K/Day] 💧🔥♻️ [Premium ⚡];50;200000;2K/day;1;Max unreachable (100 days);30;1.2000;57.60;130;132.00;74.40
48;Instagram;Followers;58df1f08-b3ff-448b-8adb-0dbaa063e6c5;Instagram Followers [Max 1B | 30 Days Refill | Real Accounts | Fast Start | 3K/day];Instagram RAF™ Followers [Refill: 30D] [Max: 50K] [Start Time: 0-3 Hours] [Speed: 3K/Day] ⚡💧 [Premium ⚡];5;1000000000;3K/day;1;Max unreachable (333,334 days);30;1.5000;72.00;130;166.00;94.00
49;Instagram;Followers;82a58dc1-6fb0-45fc-9b79-dea4d88b8345;Instagram Turkey 🇹🇷 Followers [Max 50K | No Refill | Real Accounts | Fast Start | 5K/day];🇹🇷 Instagram Followers [TURKEY - 90% FEMALE] [No Refill] [Max: 50K] [Start Time: 1 Hour] [Speed: 5K/Day] [Premium ⚡];50;50000;5K/day;1;;0;1.6500;79.20;130;182.00;102.80
50;Instagram;Profile Reach;bdd8aea2-0fd8-401d-bb47-b1afa5eb535f;Instagram Profile Reach [Max 20K | 90 Days Refill | Real Accounts | Fast Start | 10K/day];🇰🇷🇰🇵 Instagram Likes + Impressions + Reach [Korea] [HQ] [Refill: 90 Days] [Max: 10K] [Start Time: 0 - 1 Hour] [Speed: 10K/Day] [Premium ⚡];20;20000;10K/day;1;;90;2.0280;97.34;85;180.00;82.66
51;Instagram;Auto Engagement;cd1b8ec3-22b1-416a-ba0b-b8504571c9b2;Instagram Auto Engagement [Max 20K | 60 Days Refill | Real Accounts | 1,5K/day];Instagram Auto Likes RAU™ [KOREA 🇰🇷 🇰🇵] [Max: 1.5K] [Refill: 60D] [Start Time: 0 - 1 Hr] [Speed: 1.5K/D] 💧 [Premium ⚡];20;20000;1,5K/day;1;;60;2.0280;97.34;85;180.00;82.66
52;Instagram;Comments;37e5a777-5a6a-4641-ad12-85fec9c2a084;Instagram Comments [Max 200K | 30 Days Refill | Real Accounts | Fast Start | 300/day];Instagram Comments [CUSTOM] [NON-DROP] [Refill: 30 Days] [Max: 150К] [Start Time: 1 Hour] [Speed: 300/Day] ⚡⭐💧♻️ [Premium ⚡];5;200000;300/day;4;Max unreachable (667 days);30;2.7000;129.60;85;240.00;110.40
53;Instagram;Combo Package;3ea6ba71-76a5-4d77-be2f-4284c17e1e36;Instagram Combo Package [Max 1 | No Refill | Real Accounts | 90–100/day];Starter Pack [MONTHLY] [90-100 Followers Daily + 500-600 Views Per Video + 200-250 Likes Per Post] [Premium ⚡];1;1;90–100/day;12;;0;3.6000;172.80;85;320.00;147.20
54;Instagram;Likes;515eb634-91fd-4a62-b651-2d52d53fda13;Instagram Turkey 🇹🇷 Likes [Max 10K | No Refill];Instagram Likes Turkey [Budget 💰];50;10000;;;;0;13.1760;632.45;55;980.00;347.55
55;Instagram;Comments;c2e55e5e-b778-4bab-9705-c3da73f894cc;Instagram Turkey 🇹🇷 Comments [Max 100 | No Refill | Real Accounts | Instant];🇹🇷INSTAGRAM REEL COMMENTS [CUSTOM] [TURKISH] [HQ] [Refill: No] [Max: 100] [Start Time: 0-1 Hour] [Speed: INSTANT] [Premium ⚡];10;100;;;;0;18.0000;864.00;55;1339.00;475.00
56;Instagram;Auto Engagement;f0d2bc33-4f88-47b4-ad93-9215981e0415;Instagram USA 🇺🇸 Auto Engagement [Max 12 | No Refill | Real Accounts | Fast Start];Instagram Auto Comments [from VERIFIED accounts] [Random - USA/EUROPE] [Max: 20] [Start Time: 0-12 Hours] [Speed: 24 Hours Delivery] [Premium ⚡];1;12;;;;0;270.0000;12960.00;55;20088.00;7128.00
57;TikTok;Live Stream Likes;4bd8ad4b-d378-4e79-846b-3a4b075f135d;TikTok Live Stream Likes [Max 2B | No Refill | Instant | 1M/day];TikTok Live Stream Likes [Max 100M] [Instant] [1M/Speed] [No Refill] [Budget 💰];100;2147483647;1M/day;1;Max unreachable (2,148 days);0;0.0031;0.15;500;0.89;0.74
58;TikTok;Views;4762e0fa-636d-4a9e-8181-4be70148c2da;TikTok Views [Max 100M | No Refill | Real Accounts | 50K–200K/day];TikTok - Views ~ 50k-200k/days ~ [ 𝔅𝗲𝙨𝘁 - 𝐒𝐩𝐞𝐞𝐝 ] [Premium ⚡];100;100000000;50K–200K/day;1;Max unreachable (2,000 days);0;0.0034;0.16;500;0.98;0.82
59;TikTok;Views;4e486db6-0e3e-4f1f-a860-f97e7bb495fb;TikTok Views [Max 100M | No Refill | Real Accounts | Instant | 10M/day];TikTok - Video Views ~ 𝐍𝐎 𝗥𝗘𝗙𝗜𝗟𝗟 ~ 10M/days ~ INSTANT [Premium ⚡];100;100000000;10M/day;1;;0;0.0047;0.23;500;1.35;1.12
60;TikTok;Views;5315c26e-af1b-48ee-9686-d636c3a0bd04;TikTok Views [Max 100M | No Refill | Instant | 20M/day];TikTok Views [Instant] [Max 100M] [Working] [20M/Day] [No Refill] [Budget 💰];100;100000000;20M/day;1;;0;0.0063;0.30;500;1.81;1.51
61;TikTok;Shares;3b751db9-5c93-4fe6-a0fe-e853b39c8512;TikTok Shares [Max 2B | 365 Days Refill | Instant | 500K/day];TikTok Shares [ 1M Max ] [Instant] [500k/Day] [Working] [365 Days Refill] [Budget 💰];10;2147483647;500K/day;1;Max unreachable (4,295 days);365;0.0075;0.36;500;2.16;1.80
62;TikTok;Saves;79f3c0e9-bf97-4d78-9508-58d82ebfab35;TikTok Saves [Max 1M | 30 Days Refill | Instant | 100K/day];Tiktok Video Saves [INSTANT] [100K/D] [1M MAX] 30 Days Refill [Budget 💰];10;1000000;100K/day;1;;30;0.0080;0.38;500;2.30;1.92
63;TikTok;Saves;a169eb4b-a56e-4594-977f-b30b9078db7b;TikTok Saves [Max 2B | 365 Days Refill | Instant | 100K–400K/day];Tiktok Saves [Cheap Server] [100-400k/Day] [Instant] [1M Max] [365 Days Refill] [Budget 💰];100;2147483647;100K–400K/day;1;Max unreachable (21,475 days);365;0.0081;0.39;500;2.33;1.94
64;TikTok;Views;7828dcdf-4c1b-4119-b0d6-8abf8d8d76be;TikTok Views [Max 50M | No Refill];Tiktok Cebeli Video Views Max 50M | [Budget 💰];100;50000000;;;;0;0.0160;0.77;500;4.61;3.84
65;TikTok;Views;eb1e9da2-1ae0-4ab3-9aac-21f2e9e1769e;TikTok Views [Max 50M | No Refill];Tiktok Grenada Video Views Max 50M | [Budget 💰];100;50000000;;;;0;0.0160;0.77;500;4.61;3.84
66;TikTok;Likes;3fb2f1a9-26fa-4b0a-9349-e8e5c53badeb;TikTok Arab 🇸🇦 Likes [Max 1M | 30 Days Refill];TikTok Likes | 𝐀𝐫𝐚𝐛 𝐔𝐬𝐞𝐫𝐬 | ♻️30 Days Guarantee [Budget 💰];10;1000000;;;;30;0.0228;1.09;320;4.60;3.51
67;TikTok;Saves;f08378b9-0b29-4353-8e0f-d208ea4e8740;TikTok Arab 🇸🇦 Saves [Max 1M | 30 Days Refill];TikTok Video Saves | 𝐀𝐬𝐢𝐚𝐧 𝐔𝐬𝐞𝐫𝐬 | ♻️30 Days Guarantee [Budget 💰];100;1000000;;;;30;0.0228;1.09;320;4.60;3.51
68;TikTok;Likes;3caad452-6702-48c3-beb8-0bf1ae64ccd7;TikTok Likes [Max 20K | 365 Days Refill | 20K/day];TikTok Likes Nigeria [Max 20K] |20K/Day|365 Days Refill [Budget 💰];50;20000;20K/day;1;;365;0.0312;1.50;320;6.29;4.79
69;TikTok;Likes;519ed429-5ce8-4cb0-bcc7-e75f019ac350;TikTok Likes [Max 1M | 30 Days Refill];Tiktok Likes [Max 100k] [30 Days Refill] [Budget 💰];10;1000000;;;;30;0.0386;1.85;320;7.78;5.93
70;TikTok;Likes;10fef4d6-90de-4b1c-b3b2-608e5c36fc00;TikTok Brazil 🇧🇷 Likes [Max 10M | No Refill | Real Accounts | Instant | 5K–10K/day];TikTok - Likes + Views ~ Brazil ~ 5k-10k/days ~ INSTANT [Premium ⚡];10;10000000;5K–10K/day;1;Max unreachable (2,000 days);0;0.0487;2.34;320;9.82;7.48
71;TikTok;Likes;9c0453ff-6335-493f-9d62-ebc438dadb87;TikTok Brazil 🇧🇷 Likes [Max 100K | 30 Days Refill | Instant | 20K/day];🇧🇷 TikTok Brazil Like | Max 100K | Brazil User | Instant | Stable | 20K Per Day [Budget 💰];100;100000;20K/day;1;;30;0.1025;4.92;200;14.80;9.88
72;TikTok;Comments;790ecfaa-9565-4642-ba8b-11ea14f70578;TikTok Comments [Max 1K | No Refill | Real Accounts];TikTok South Korea Comments | 10 Comments from Real Korean Accounts [Budget 💰];1000;1000;;;;0;0.1056;5.07;200;15.20;10.13
73;TikTok;Followers;6f108a66-1a4c-4775-ab73-ffda422f78f9;TikTok Brazil 🇧🇷 Followers [Max 10M | 30 Days Refill | Fast Start | 30K–50K/day];TikTok Followers [𝐁𝐫𝐚𝐳𝐢𝐥] [30-50k/Day] [0-3 Hour] [30 Days Guarantee] [Budget 💰];10;10000000;30K–50K/day;1;Max unreachable (334 days);30;0.1728;8.29;200;24.90;16.61
74;TikTok;Comments;f3f0ba1b-a34d-4bf2-818d-6a0c4d9fb841;TikTok Comments [Max 100K | 365 Days Refill | Real Accounts];TikTok [Custom Comments] [Real Mixd Users] [Non Drop] [365 Days Refill] [Budget 💰];5;100000;;;;365;0.1845;8.86;200;26.60;17.74
75;TikTok;Followers;d511bb88-a186-45b7-b96c-a26407859c32;TikTok Followers [Max 2K | 30 Days Refill | Real Accounts | Instant | 1K–50K/day];TikTok - Followers ~ 10M ~ 1k-50k/days ~ INSTANT [Premium ⚡];50;2000;1K–50K/day;1;;30;0.2621;12.58;200;37.70;25.12
76;TikTok;Followers;b1a6c455-990a-48dc-8f8f-ddb9d6e08446;TikTok Followers [Max 500K | 30 Days Refill | Real Accounts | 10K–20K/day];Tiktok Followers [10-20k Speed Per Day] [HQ] [30 Days Refill] [Budget 💰];20;500000;10K–20K/day;1;;30;0.3193;15.33;200;46.00;30.67
77;TikTok;Likes;c0c66be3-da18-4033-95e1-c06d5ff0d422;TikTok Turkey 🇹🇷 Likes [Max 20K | No Refill | Real Accounts | 10K–15K/day];TikTok Likes [Turkey 🇹🇷] [15K MAX] [HQ] [10-15K/D]NR [Budget 💰];10;20000;10K–15K/day;1;;0;0.3660;17.57;200;52.70;35.13
78;TikTok;Followers;7f1d51a8-224b-4150-ae3f-6848ba3baca2;TikTok USA 🇺🇸 Followers [Max 10K | 30 Days Refill | Real Accounts | 10K/day];🇺🇸 TikTok Followers [ 00% USA] [Max 10K] [Real Accounts With Posts] [10K/d] [30 Days Refill] [Budget 💰];100;10000;10K/day;1;;30;0.3888;18.66;200;56.00;37.34
