sira;platform;kategori;saglayici_servis_id;hizmet_adi;saglayici_orijinal_adi;min_adet;max_adet;gunluk_hiz;1000_adet_kac_gun;max_uyarisi;garanti_gun;maliyet_usd_1000;maliyet_try_1000;kar_marji_yuzde;satis_fiyati_try_1000;kar_try_1000
21;Instagram;Reaksiyon;866adbef-4542-4255-bb22-87b3b320ba95;Instagram Türkiye 🇹🇷 Reaksiyon [Max 200K | 30 Gün Garantili | Gerçek Hesap | 12K/gün];🇹🇷👩❤️ Instagram Premium Turkish Women Like | 30 Days Refill ♻️ | Max 100K | 100% Turkish Women | 500 per Hour [Budget 💰];20;200000;12K/gün;1;;30;0.0456;2.19;320;9.19;7.00
22;Instagram;Takipçi;ef9423c5-fb0b-4803-ae52-b111818011ce;Instagram Takipçi [Max 200K | 30 Gün Garantili | Gerçek Hesap | Anında];Instagram Followers [Emergency] [Real Accounts] [Instant] [30 Days Refill] [Budget 💰];50;200000;;;;30;0.0529;2.54;320;10.70;8.16
23;Instagram;Beğeni;60cc1a17-efff-4e04-b06e-3662ee91c582;Instagram Beğeni [Max 300K | 30 Gün Garantili | Bot Hesap | Hızlı];Instagram Likes [Bots with PP] [Refill: AR30] [Max: 300K] [Start Time: 0-1 Hour] [Speed: FAST] ⛔♻️ [Premium ⚡];10;300000;;;;30;0.0558;2.68;320;11.20;8.52
24;Instagram;İzlenme;b0e710b7-cfce-4c8d-ab80-a9e4d5165cb7;Instagram İzlenme [Max 2B | Garantisiz | Gerçek Hesap | Hızlı | 240K/gün];IGTV Views [Max: 1M] [Start Time: 0-1 Hour] [Speed: 10K/Hour] 💧 [Premium ⚡];100;2147483647;240K/gün;1;Max ulaşılamaz (8.948 gün);0;0.0715;3.43;320;14.40;10.97
25;Instagram;Beğeni;28ea7e01-3e27-4ad2-8644-7568c4fb297c;Instagram Hindistan 🇮🇳 Beğeni [Max 30K | 30 Gün Garantili | Gerçek Hesap | Anında | 10K/gün];🇮🇳 Instagram Likes [INDIA] [Refill: 30D] [Max: 30K] [Start Time: Instant] [Speed: 10K/D] [Premium ⚡];10;30000;10K/gün;1;;30;0.0810;3.89;320;16.30;12.41
26;Instagram;Hikaye Görüntülenme;af678278-fbde-4f96-904a-4877a8b8e511;Instagram Arap 🇸🇦 Hikaye Görüntülenme [Max 50K | 30 Gün Garantili | Gerçek Hesap | 10K/gün];Instagram Story Views [ARAB] [Refill: 30D] [Max: 20K] [Start Time: 0 - 12 Hrs] [Speed: Up to 10K/D] 💧 [Premium ⚡];20;50000;10K/gün;1;;30;0.0907;4.35;320;18.30;13.95
27;Instagram;Takipçi;d2573273-9d60-4212-859f-26b057ada416;Instagram Brezilya 🇧🇷 Takipçi [Max 100K | 30 Gün Garantili | Gerçek Hesap | 1K–2K/gün];🇧🇷 Instagram Premium [Brazilian Followers] [100% Brazilian] [100K MAX] [1-2K/D] 30 Days Refill [Budget 💰];100;100000;1K–2K/gün;1;Max ulaşılamaz (100 gün);30;0.1170;5.62;200;16.80;11.18
28;Instagram;Beğeni;59db7c24-ad8a-4035-92d1-b6a935a25049;Instagram Türkiye 🇹🇷 Beğeni [Max 300K | Garantisiz | Gerçek Hesap | Hızlı | 5K/gün];🇹🇷 Instagram Likes [TURKEY - 80% FEMALE] [Refill: No] [Max: 25K] [Start Time: 1 Hour] [Speed: 5K/Day] [Premium ⚡];10;300000;5K/gün;1;;0;0.1350;6.48;200;19.40;12.92
29;Instagram;Yorum;f6a23c15-3e2c-4b1b-8925-f591c2fda65b;Instagram Türkiye 🇹🇷 Yorum [Max 1K | Garantisiz];Instagram Bluetick Comment [ Turkey ] [1 Comment] [Budget 💰];1000;1000;;;;0;0.1464;7.03;200;21.10;14.07
30;Instagram;Takipçi;855fe926-da6f-4821-ba20-67a65b4ea668;Instagram Takipçi [Max 6K | 65 Gün Garantili | Gerçek Hesap | Hızlı | 5,9K/gün];🔥🔥🔥 [EXCLUSIVE] Instagram Followers [Spam On] [Refill: 65 Days] [Max: 100K/username - 5.9K/order] [Start Time: 0-1 Hours] [Speed: 5.9K/Day] ♻️🔥🔥🔥 [Premium ⚡];5900;5900;5,9K/gün;1;;65;0.1584;7.60;200;22.80;15.20
31;Instagram;Beğeni;a3379b3d-c4bc-475b-8f42-5988d416229a;Instagram Beğeni [Max 10M | 30 Gün Garantili | Gerçek Hesap | Hızlı | 10K/gün];Instagram Real Likes [Refill: 30D] [Max: 20K] [Start Time: 0 - 1 Hour] [Speed: 10K/Day] 💧 [Premium ⚡];1;10000000;10K/gün;1;Max ulaşılamaz (1.000 gün);30;0.1800;8.64;200;25.90;17.26
32;Instagram;Takipçi;03577d73-67f4-4d74-b5b8-73e47d447521;Instagram Takipçi [Max 10M | 30 Gün Garantili | Gerçek Hesap | Hızlı | 1M/gün];Instagram Followers [Refill: 30 Days] [Max: 5M] [Start Time: 0-1 Hour] [Speed: 1M/Day] ♻️ [Premium ⚡];10;10000000;1M/gün;1;;30;0.2412;11.58;200;34.70;23.12
33;Instagram;Kombo Paket;7402fc5f-099e-4f54-9a2c-ba9d77373263;Instagram Hindistan 🇮🇳 Kombo Paket [Max 10K | 365 Gün Garantili];Instagram 🇮🇳 1000 Followers + 1000 Likes on 10 Last Post (100 per Post) (365 Days Refill) [Budget 💰];1000;10000;;;;365;0.2652;12.73;200;38.20;25.47
34;Instagram;Takipçi;eb300913-40de-4063-bb5d-7fa13246959f;Instagram Takipçi [Max 50K | 30 Gün Garantili | Gerçek Hesap | Hızlı | 5K/gün];Instagram Followers [Refill: 30 Days] [Max: 50K] [Start Time: 1 Hour] [Speed: 5K/Day] ♻️ [Premium ⚡];100;50000;5K/gün;1;;30;0.3432;16.47;200;49.40;32.93
35;Instagram;Kombo Paket;977bd13b-cc90-4cb2-9877-f78087749a63;Instagram Hindistan 🇮🇳 Kombo Paket [Max 10K | 365 Gün Garantili];Instagram 🇮🇳 2000 Followers + 2000 Likes on 20 Last Post (100 per Post) (365 Days Refill) [Budget 💰];2000;10000;;;;365;0.4680;22.46;200;67.40;44.94
36;Instagram;Takipçi;bb0d255f-ec43-4480-adff-2114fca4440d;Instagram Türkiye 🇹🇷 Takipçi [Max 500K | 30 Gün Garantili | Gerçek Hesap | 20K/gün];Instagram Followers [🇦🇪 ARAB / 🇮🇳 INDIA / 🇹🇷 TURK MIX] [Refill: 30D] [Max: 10K] [Start Time: 0 - 1 Hr] [Speed: 20K/D] 💧⛔ [Premium ⚡];50;500000;20K/gün;1;;30;0.5100;24.48;130;56.30;31.82
37;Instagram;Takipçi;c3ee5887-cec6-418b-9093-56157e7f4f13;Instagram Hindistan 🇮🇳 Takipçi [Max 1M | 365 Gün Garantili | Anında | 30K/gün];Instagram Followers [Indian🇮🇳] [INSTANT] [LESS DROP] [30K/D] [1M MAX] [365 Days Refill] [Budget 💰];100;1000000;30K/gün;1;;365;0.5220;25.06;130;57.60;32.54
38;Instagram;Beğeni;a1e8c6fb-9088-4a14-92f4-7f271df7da0d;Instagram Hindistan 🇮🇳 Beğeni [Max 3K | 30 Gün Garantili | Gerçek Hesap | Anında | 10K/gün];🇮🇳 Instagram Likes [INDIA WOMEN] [Refill: 30 Days] [Max: 10K] [Start Time: Instant] [Speed: 10K/Day] [Premium ⚡];10;3000;10K/gün;1;;30;0.5250;25.20;130;58.00;32.80
39;Instagram;Takipçi;b9bee028-f355-4c65-99e4-7aae0dedaf63;Instagram Takipçi [Max 1M | 30 Gün Garantili | Gerçek Hesap | 20K/gün];Instagram Followers [SPAM ON] [Max: 1M] [Refill: 30D] [Start Time: 0 - 1 Hr] [Speed: 20K/D] ♻️💧⛔ [Premium ⚡];10;1000000;20K/gün;1;;30;0.8100;38.88;130;89.40;50.52
40;Instagram;Yorum;36744d2a-75cf-4ac1-87de-971791d30fcc;Instagram Yorum [Max 500K | 30 Gün Garantili | Gerçek Hesap | 20K/gün];Instagram Comments [HQ - RANDOM] [Refill: 30 Days] [Max: 100K] [Start Time: 0 - 3 Hours] [Speed: 20K/Day] 💧 [Premium ⚡];10;500000;20K/gün;1;;30;0.8784;42.16;130;97.00;54.84
41;Instagram;Yorum;5e0b3ea7-fd01-4195-9060-427e9eb5f683;Instagram Türkiye 🇹🇷 Yorum [Max 1 | Garantisiz | Gerçek Hesap | Anında];🇹🇷 Instagram Artist VERIFIED Comments [4 Comments] [Refill: No] [Start Time: 0-6 Hours] [Speed: Instant after Start Time] [Premium ⚡];1;1;;;;0;0.9000;43.20;130;99.40;56.20
42;Instagram;Takipçi;061a9489-9bcc-46e4-b360-fbbdb0f2a2a7;Instagram Takipçi [Max 30K | 7 Gün Garantili | Gerçek Hesap | Hızlı | 12K/gün];Instagram Followers [Refill: 7 Days] [Max: 30K] [Start Time: 1 Hour] [Speed: 500/Hour] ♻️ [Premium ⚡];10;30000;12K/gün;1;;7;1.0200;48.96;130;113.00;64.04
43;Instagram;Takipçi;1ff48594-d53e-43b9-98de-66df50754553;Instagram Türkiye 🇹🇷 Takipçi [Max 15K | Garantisiz | Gerçek Hesap | Hızlı | 4K/gün];Instagram Followers [75% Turkey] [Refill: No] [Max: 15K] [Start Time: 1 Hour] [Speed: 4K/Day] [Premium ⚡];50;15000;4K/gün;1;;0;1.0500;50.40;130;116.00;65.60
44;Instagram;Yorum;073e5687-2047-4a7d-b377-379323544a9b;Instagram Yorum [Max 50K | 30 Gün Garantili | Gerçek Hesap | 25K/gün];Instagram Comments [CUSTOM] [Refill: 30 Days] [Max: 1M] [Start Time: 0 - 3 Hours] [Speed: 25K/Day] 💧 [Premium ⚡];10;50000;25K/gün;1;;30;1.0500;50.40;130;116.00;65.60
45;Instagram;Takipçi;19d50d61-f305-4f25-b45b-21fb5873d29d;Instagram Hindistan 🇮🇳 Takipçi [Max 250K | 99 Gün Garantili | Gerçek Hesap | Hızlı | 15K/gün];🇮🇳 Instagram Followers [Refill: 99 Days] [Max: 300K] [Start Time: 0 - 1 Hours] [Speed: 15K/Day] [Premium ⚡];10;250000;15K/gün;1;;99;1.1100;53.28;130;123.00;69.72
46;Instagram;Takipçi;e76c79a3-d716-4a35-9bc0-10b3b208f9a2;Instagram Türkiye 🇹🇷 Takipçi [Max 10K | Garantisiz];Instagram Turkey Followers | Max: 10K [Budget 💰];50;10000;;;;0;1.2000;57.60;130;132.00;74.40
47;Instagram;Reaksiyon;aca3e248-bd88-4959-a3b2-62537b57d2ff;Instagram Reaksiyon [Max 200K | 30 Gün Garantili | Gerçek Hesap | Hızlı | 2K/gün];🇷🇺Instagram Likes + Impressions [RUSSIAN] [NON-DROP] [Max: 150K] [Refill: 30 Days] [Start Time: 1 Hour] [Speed: 2K/Day] 💧🔥♻️ [Premium ⚡];50;200000;2K/gün;1;Max ulaşılamaz (100 gün);30;1.2000;57.60;130;132.00;74.40
48;Instagram;Takipçi;58df1f08-b3ff-448b-8adb-0dbaa063e6c5;Instagram Takipçi [Max 1B | 30 Gün Garantili | Gerçek Hesap | Hızlı | 3K/gün];Instagram RAF™ Followers [Refill: 30D] [Max: 50K] [Start Time: 0-3 Hours] [Speed: 3K/Day] ⚡💧 [Premium ⚡];5;1000000000;3K/gün;1;Max ulaşılamaz (333.334 gün);30;1.5000;72.00;130;166.00;94.00
49;Instagram;Takipçi;82a58dc1-6fb0-45fc-9b79-dea4d88b8345;Instagram Türkiye 🇹🇷 Takipçi [Max 50K | Garantisiz | Gerçek Hesap | Hızlı | 5K/gün];🇹🇷 Instagram Followers [TURKEY - 90% FEMALE] [No Refill] [Max: 50K] [Start Time: 1 Hour] [Speed: 5K/Day] [Premium ⚡];50;50000;5K/gün;1;;0;1.6500;79.20;130;182.00;102.80
50;Instagram;Profil Erişimi;bdd8aea2-0fd8-401d-bb47-b1afa5eb535f;Instagram Profil Erişimi [Max 20K | 90 Gün Garantili | Gerçek Hesap | Hızlı | 10K/gün];🇰🇷🇰🇵 Instagram Likes + Impressions + Reach [Korea] [HQ] [Refill: 90 Days] [Max: 10K] [Start Time: 0 - 1 Hour] [Speed: 10K/Day] [Premium ⚡];20;20000;10K/gün;1;;90;2.0280;97.34;85;180.00;82.66
51;Instagram;Otomatik Etkileşim;cd1b8ec3-22b1-416a-ba0b-b8504571c9b2;Instagram Otomatik Etkileşim [Max 20K | 60 Gün Garantili | Gerçek Hesap | 1,5K/gün];Instagram Auto Likes RAU™ [KOREA 🇰🇷 🇰🇵] [Max: 1.5K] [Refill: 60D] [Start Time: 0 - 1 Hr] [Speed: 1.5K/D] 💧 [Premium ⚡];20;20000;1,5K/gün;1;;60;2.0280;97.34;85;180.00;82.66
52;Instagram;Yorum;37e5a777-5a6a-4641-ad12-85fec9c2a084;Instagram Yorum [Max 200K | 30 Gün Garantili | Gerçek Hesap | Hızlı | 300/gün];Instagram Comments [CUSTOM] [NON-DROP] [Refill: 30 Days] [Max: 150К] [Start Time: 1 Hour] [Speed: 300/Day] ⚡⭐💧♻️ [Premium ⚡];5;200000;300/gün;4;Max ulaşılamaz (667 gün);30;2.7000;129.60;85;240.00;110.40
53;Instagram;Kombo Paket;3ea6ba71-76a5-4d77-be2f-4284c17e1e36;Instagram Kombo Paket [Max 1 | Garantisiz | Gerçek Hesap | 90–100/gün];Starter Pack [MONTHLY] [90-100 Followers Daily + 500-600 Views Per Video + 200-250 Likes Per Post] [Premium ⚡];1;1;90–100/gün;12;;0;3.6000;172.80;85;320.00;147.20
54;Instagram;Beğeni;515eb634-91fd-4a62-b651-2d52d53fda13;Instagram Türkiye 🇹🇷 Beğeni [Max 10K | Garantisiz];Instagram Likes Turkey [Budget 💰];50;10000;;;;0;13.1760;632.45;55;980.00;347.55
55;Instagram;Yorum;c2e55e5e-b778-4bab-9705-c3da73f894cc;Instagram Türkiye 🇹🇷 Yorum [Max 100 | Garantisiz | Gerçek Hesap | Anında];🇹🇷INSTAGRAM REEL COMMENTS [CUSTOM] [TURKISH] [HQ] [Refill: No] [Max: 100] [Start Time: 0-1 Hour] [Speed: INSTANT] [Premium ⚡];10;100;;;;0;18.0000;864.00;55;1339.00;475.00
56;Instagram;Otomatik Etkileşim;f0d2bc33-4f88-47b4-ad93-9215981e0415;Instagram ABD 🇺🇸 Otomatik Etkileşim [Max 12 | Garantisiz | Gerçek Hesap | Hızlı];Instagram Auto Comments [from VERIFIED accounts] [Random - USA/EUROPE] [Max: 20] [Start Time: 0-12 Hours] [Speed: 24 Hours Delivery] [Premium ⚡];1;12;;;;0;270.0000;12960.00;55;20088.00;7128.00
57;TikTok;Canlı Yayın Beğeni;4bd8ad4b-d378-4e79-846b-3a4b075f135d;TikTok Canlı Yayın Beğeni [Max 2B | Garantisiz | Anında | 1M/gün];TikTok Live Stream Likes [Max 100M] [Instant] [1M/Speed] [No Refill] [Budget 💰];100;2147483647;1M/gün;1;Max ulaşılamaz (2.148 gün);0;0.0031;0.15;500;0.89;0.74
58;TikTok;İzlenme;4762e0fa-636d-4a9e-8181-4be70148c2da;TikTok İzlenme [Max 100M | Garantisiz | Gerçek Hesap | 50K–200K/gün];TikTok - Views ~ 50k-200k/days ~ [ 𝔅𝗲𝙨𝘁 - 𝐒𝐩𝐞𝐞𝐝 ] [Premium ⚡];100;100000000;50K–200K/gün;1;Max ulaşılamaz (2.000 gün);0;0.0034;0.16;500;0.98;0.82
59;TikTok;İzlenme;4e486db6-0e3e-4f1f-a860-f97e7bb495fb;TikTok İzlenme [Max 100M | Garantisiz | Gerçek Hesap | Anında | 10M/gün];TikTok - Video Views ~ 𝐍𝐎 𝗥𝗘𝗙𝗜𝗟𝗟 ~ 10M/days ~ INSTANT [Premium ⚡];100;100000000;10M/gün;1;;0;0.0047;0.23;500;1.35;1.12
60;TikTok;İzlenme;5315c26e-af1b-48ee-9686-d636c3a0bd04;TikTok İzlenme [Max 100M | Garantisiz | Anında | 20M/gün];TikTok Views [Instant] [Max 100M] [Working] [20M/Day] [No Refill] [Budget 💰];100;100000000;20M/gün;1;;0;0.0063;0.30;500;1.81;1.51
61;TikTok;Paylaşım;3b751db9-5c93-4fe6-a0fe-e853b39c8512;TikTok Paylaşım [Max 2B | 365 Gün Garantili | Anında | 500K/gün];TikTok Shares [ 1M Max ] [Instant] [500k/Day] [Working] [365 Days Refill] [Budget 💰];10;2147483647;500K/gün;1;Max ulaşılamaz (4.295 gün);365;0.0075;0.36;500;2.16;1.80
62;TikTok;Kaydetme;79f3c0e9-bf97-4d78-9508-58d82ebfab35;TikTok Kaydetme [Max 1M | 30 Gün Garantili | Anında | 100K/gün];Tiktok Video Saves [INSTANT] [100K/D] [1M MAX] 30 Days Refill [Budget 💰];10;1000000;100K/gün;1;;30;0.0080;0.38;500;2.30;1.92
63;TikTok;Kaydetme;a169eb4b-a56e-4594-977f-b30b9078db7b;TikTok Kaydetme [Max 2B | 365 Gün Garantili | Anında | 100K–400K/gün];Tiktok Saves [Cheap Server] [100-400k/Day] [Instant] [1M Max] [365 Days Refill] [Budget 💰];100;2147483647;100K–400K/gün;1;Max ulaşılamaz (21.475 gün);365;0.0081;0.39;500;2.33;1.94
64;TikTok;İzlenme;7828dcdf-4c1b-4119-b0d6-8abf8d8d76be;TikTok İzlenme [Max 50M | Garantisiz];Tiktok Cebeli Video Views Max 50M | [Budget 💰];100;50000000;;;;0;0.0160;0.77;500;4.61;3.84
65;TikTok;İzlenme;eb1e9da2-1ae0-4ab3-9aac-21f2e9e1769e;TikTok İzlenme [Max 50M | Garantisiz];Tiktok Grenada Video Views Max 50M | [Budget 💰];100;50000000;;;;0;0.0160;0.77;500;4.61;3.84
66;TikTok;Beğeni;3fb2f1a9-26fa-4b0a-9349-e8e5c53badeb;TikTok Arap 🇸🇦 Beğeni [Max 1M | 30 Gün Garantili];TikTok Likes | 𝐀𝐫𝐚𝐛 𝐔𝐬𝐞𝐫𝐬 | ♻️30 Days Guarantee [Budget 💰];10;1000000;;;;30;0.0228;1.09;320;4.60;3.51
67;TikTok;Kaydetme;f08378b9-0b29-4353-8e0f-d208ea4e8740;TikTok Arap 🇸🇦 Kaydetme [Max 1M | 30 Gün Garantili];TikTok Video Saves | 𝐀𝐬𝐢𝐚𝐧 𝐔𝐬𝐞𝐫𝐬 | ♻️30 Days Guarantee [Budget 💰];100;1000000;;;;30;0.0228;1.09;320;4.60;3.51
68;TikTok;Beğeni;3caad452-6702-48c3-beb8-0bf1ae64ccd7;TikTok Beğeni [Max 20K | 365 Gün Garantili | 20K/gün];TikTok Likes Nigeria [Max 20K] |20K/Day|365 Days Refill [Budget 💰];50;20000;20K/gün;1;;365;0.0312;1.50;320;6.29;4.79
69;TikTok;Beğeni;519ed429-5ce8-4cb0-bcc7-e75f019ac350;TikTok Beğeni [Max 1M | 30 Gün Garantili];Tiktok Likes [Max 100k] [30 Days Refill] [Budget 💰];10;1000000;;;;30;0.0386;1.85;320;7.78;5.93
70;TikTok;Beğeni;10fef4d6-90de-4b1c-b3b2-608e5c36fc00;TikTok Brezilya 🇧🇷 Beğeni [Max 10M | Garantisiz | Gerçek Hesap | Anında | 5K–10K/gün];TikTok - Likes + Views ~ Brazil ~ 5k-10k/days ~ INSTANT [Premium ⚡];10;10000000;5K–10K/gün;1;Max ulaşılamaz (2.000 gün);0;0.0487;2.34;320;9.82;7.48
71;TikTok;Beğeni;9c0453ff-6335-493f-9d62-ebc438dadb87;TikTok Brezilya 🇧🇷 Beğeni [Max 100K | 30 Gün Garantili | Anında | 20K/gün];🇧🇷 TikTok Brazil Like | Max 100K | Brazil User | Instant | Stable | 20K Per Day [Budget 💰];100;100000;20K/gün;1;;30;0.1025;4.92;200;14.80;9.88
72;TikTok;Yorum;790ecfaa-9565-4642-ba8b-11ea14f70578;TikTok Yorum [Max 1K | Garantisiz | Gerçek Hesap];TikTok South Korea Comments | 10 Comments from Real Korean Accounts [Budget 💰];1000;1000;;;;0;0.1056;5.07;200;15.20;10.13
